"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/03/2025";"0000";"25,6";"26,5";"25,6";"80,0";"80,0";"76,0";"21,9";"22,2";"21,8";"1015,9";"1015,9";"1015,6";"";"";"";"";"0,0"
"02/03/2025";"0100";"25,0";"25,6";"25,0";"85,0";"85,0";"80,0";"22,3";"22,3";"21,8";"1016,0";"1016,0";"1015,9";"";"";"";"";"0,0"
"02/03/2025";"0200";"24,5";"25,0";"24,5";"87,0";"87,0";"85,0";"22,3";"22,3";"22,2";"1015,9";"1016,0";"1015,9";"";"";"";"";"0,0"
"02/03/2025";"0300";"23,8";"24,5";"23,7";"91,0";"91,0";"87,0";"22,2";"22,4";"21,8";"1015,5";"1015,9";"1015,4";"";"";"";"";"0,0"
"02/03/2025";"0400";"23,7";"23,8";"23,7";"92,0";"92,0";"91,0";"22,3";"22,4";"22,1";"1014,9";"1015,5";"1014,9";"";"";"";"";"0,0"
"02/03/2025";"0500";"23,7";"24,0";"23,7";"92,0";"92,0";"92,0";"22,3";"22,6";"22,3";"1014,5";"1014,9";"1014,5";"";"";"";"";"0,0"
"02/03/2025";"0600";"23,8";"23,9";"23,4";"93,0";"93,0";"92,0";"22,5";"22,6";"22,1";"1014,4";"1014,5";"1014,3";"";"";"";"";"0,0"
"02/03/2025";"0700";"23,8";"24,0";"23,7";"93,0";"93,0";"93,0";"22,7";"22,8";"22,5";"1014,5";"1014,6";"1014,4";"";"";"";"";"0,8"
"02/03/2025";"0800";"23,9";"23,9";"23,6";"94,0";"94,0";"93,0";"22,8";"22,8";"22,5";"1015,1";"1015,1";"1014,5";"";"";"";"";"0,2"
"02/03/2025";"0900";"23,7";"24,0";"23,7";"94,0";"94,0";"93,0";"22,6";"22,9";"22,6";"1015,4";"1015,4";"1015,0";"";"";"";"2,10";"0,2"
"02/03/2025";"1000";"24,7";"24,7";"23,7";"93,0";"94,0";"93,0";"23,5";"23,5";"22,6";"1015,7";"1015,7";"1015,4";"";"";"";"252,40";"0,2"
"02/03/2025";"1100";"26,0";"26,0";"24,6";"86,0";"93,0";"86,0";"23,4";"23,8";"22,7";"1016,5";"1016,5";"1015,7";"";"";"";"924,20";"0,0"
"02/03/2025";"1200";"27,9";"28,1";"25,8";"71,0";"86,0";"71,0";"22,1";"23,2";"21,5";"1016,9";"1016,9";"1016,5";"";"";"";"1989,00";"0,0"
"02/03/2025";"1300";"29,8";"29,8";"27,6";"60,0";"73,0";"60,0";"21,1";"23,1";"21,1";"1016,9";"1016,9";"1016,8";"";"";"";"2248,70";"0,0"
"02/03/2025";"1400";"30,4";"31,2";"28,7";"56,0";"65,0";"54,0";"20,7";"21,7";"20,4";"1016,5";"1016,9";"1016,5";"";"";"";"2417,10";"0,0"
"02/03/2025";"1500";"31,1";"31,5";"30,0";"55,0";"59,0";"53,0";"21,0";"21,4";"20,1";"1015,7";"1016,6";"1015,7";"";"";"";"2027,70";"0,0"
"02/03/2025";"1600";"32,4";"32,7";"31,0";"48,0";"55,0";"46,0";"19,9";"21,2";"19,8";"1014,9";"1015,7";"1014,9";"";"";"";"3424,90";"0,0"
"02/03/2025";"1700";"32,7";"33,3";"32,0";"45,0";"49,0";"44,0";"19,3";"20,2";"19,0";"1014,3";"1014,9";"1014,3";"";"";"";"3516,60";"0,0"
"02/03/2025";"1800";"31,9";"32,9";"31,8";"47,0";"48,0";"44,0";"19,3";"20,0";"18,7";"1013,8";"1014,3";"1013,7";"";"";"";"3072,70";"0,0"
"02/03/2025";"1900";"30,9";"32,2";"30,9";"54,0";"54,0";"45,0";"20,6";"20,8";"18,6";"1013,8";"1013,8";"1013,7";"";"";"";"2381,70";"0,0"
"02/03/2025";"2000";"29,6";"31,0";"29,6";"61,0";"61,0";"54,0";"21,2";"21,6";"20,2";"1013,9";"1013,9";"1013,7";"";"";"";"1520,90";"0,0"
"02/03/2025";"2100";"28,1";"29,5";"28,1";"68,0";"68,0";"61,0";"21,6";"21,8";"21,0";"1014,2";"1014,2";"1013,8";"";"";"";"612,30";"0,0"
"02/03/2025";"2200";"27,0";"28,1";"27,0";"77,0";"77,0";"68,0";"22,7";"22,8";"21,5";"1014,7";"1014,7";"1014,2";"";"";"";"22,30";"0,0"
"02/03/2025";"2300";"26,6";"27,0";"26,6";"79,0";"79,0";"77,0";"22,6";"22,8";"22,5";"1015,4";"1015,4";"1014,7";"";"";"";"";"0,0"
"03/03/2025";"0000";"26,2";"26,6";"26,2";"83,0";"83,0";"79,0";"23,1";"23,1";"22,7";"1015,9";"1015,9";"1015,4";"";"";"";"";"0,0"
"03/03/2025";"0100";"25,7";"26,2";"25,7";"87,0";"87,0";"83,0";"23,3";"23,4";"23,1";"1016,1";"1016,2";"1015,9";"";"";"";"";"0,0"
"03/03/2025";"0200";"25,3";"25,7";"25,3";"90,0";"90,0";"87,0";"23,5";"23,5";"23,3";"1016,2";"1016,2";"1016,1";"";"";"";"";"0,0"
"03/03/2025";"0300";"25,0";"25,3";"25,0";"90,0";"91,0";"90,0";"23,3";"23,6";"23,3";"1015,7";"1016,2";"1015,7";"";"";"";"";"0,0"
"03/03/2025";"0400";"24,8";"25,0";"24,7";"92,0";"92,0";"90,0";"23,4";"23,4";"23,2";"1015,4";"1015,7";"1015,4";"";"";"";"";"0,0"
"03/03/2025";"0500";"24,6";"24,8";"24,0";"93,0";"93,0";"91,0";"23,4";"23,5";"22,5";"1015,0";"1015,4";"1015,0";"";"";"";"";"0,0"
"03/03/2025";"0600";"24,3";"24,6";"24,0";"94,0";"94,0";"93,0";"23,3";"23,5";"22,9";"1014,5";"1015,0";"1014,5";"";"";"";"";"0,0"
"03/03/2025";"0700";"24,2";"24,4";"24,0";"94,0";"94,0";"94,0";"23,1";"23,3";"22,9";"1014,3";"1014,5";"1014,3";"";"";"";"";"0,0"
"03/03/2025";"0800";"24,0";"24,2";"23,8";"94,0";"94,0";"94,0";"23,0";"23,2";"22,7";"1014,5";"1014,6";"1014,3";"";"";"";"";"0,0"
"03/03/2025";"0900";"23,8";"24,0";"23,8";"94,0";"94,0";"94,0";"22,9";"23,1";"22,8";"1015,0";"1015,0";"1014,5";"";"";"";"0,20";"0,0"
"03/03/2025";"1000";"25,3";"25,4";"23,8";"94,0";"95,0";"94,0";"24,3";"24,4";"22,8";"1015,6";"1015,6";"1015,0";"";"";"";"310,80";"0,2"
"03/03/2025";"1100";"26,6";"26,6";"25,2";"79,0";"94,0";"79,0";"22,6";"24,7";"22,3";"1016,2";"1016,2";"1015,6";"";"";"";"1105,20";"0,0"
"03/03/2025";"1200";"26,9";"27,0";"26,5";"75,0";"80,0";"75,0";"22,1";"23,1";"21,9";"1016,4";"1016,4";"1016,2";"";"";"";"943,30";"0,0"
"03/03/2025";"1300";"23,3";"28,3";"23,3";"93,0";"93,0";"69,0";"22,1";"22,6";"21,4";"1017,4";"1017,4";"1016,4";"";"";"";"760,20";"10,4"
"03/03/2025";"1400";"25,8";"26,1";"23,3";"79,0";"94,0";"79,0";"22,0";"24,3";"21,9";"1016,5";"1017,4";"1016,5";"";"";"";"1882,50";"1,0"
"03/03/2025";"1500";"29,3";"29,5";"25,8";"63,0";"81,0";"61,0";"21,5";"23,0";"21,3";"1016,0";"1016,6";"1016,0";"";"";"";"3695,80";"0,2"
"03/03/2025";"1600";"30,2";"30,5";"29,0";"60,0";"66,0";"59,0";"21,5";"22,4";"21,0";"1015,2";"1016,0";"1015,2";"";"";"";"3551,40";"0,0"
"03/03/2025";"1700";"30,5";"31,0";"30,0";"58,0";"61,0";"55,0";"21,4";"22,1";"20,2";"1014,4";"1015,2";"1014,4";"";"";"";"3531,20";"0,0"
"03/03/2025";"1800";"29,5";"30,8";"29,5";"57,0";"64,0";"56,0";"20,2";"22,2";"20,2";"1014,2";"1014,4";"1014,2";"";"";"";"2100,90";"0,0"
"03/03/2025";"1900";"30,1";"30,5";"29,5";"58,0";"61,0";"56,0";"20,9";"21,5";"20,3";"1014,1";"1014,2";"1013,9";"";"";"";"1880,50";"0,0"
"03/03/2025";"2000";"28,8";"30,1";"28,8";"64,0";"64,0";"58,0";"21,4";"21,7";"20,8";"1014,5";"1014,5";"1014,1";"";"";"";"1348,10";"0,0"
"03/03/2025";"2100";"27,6";"28,8";"27,6";"71,0";"71,0";"64,0";"21,8";"22,0";"21,4";"1014,9";"1014,9";"1014,5";"";"";"";"547,00";"0,0"
