"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"20/10/2025";"0000";"17,9";"18,0";"17,8";"87,0";"90,0";"87,0";"15,7";"16,1";"15,7";"1017,8";"1017,8";"1017,5";"3,3";"213,0";"9,2";"";"0,0"
"20/10/2025";"0100";"17,8";"18,3";"17,8";"85,0";"87,0";"83,0";"15,2";"15,7";"15,2";"1018,1";"1018,2";"1017,8";"5,0";"217,0";"10,8";"";"0,0"
"20/10/2025";"0200";"17,5";"17,9";"17,4";"84,0";"85,0";"80,0";"14,7";"15,1";"14,2";"1018,0";"1018,2";"1018,0";"2,7";"228,0";"8,9";"";"0,0"
"20/10/2025";"0300";"17,9";"18,2";"17,5";"81,0";"84,0";"80,0";"14,7";"14,8";"14,6";"1017,8";"1018,0";"1017,8";"4,7";"222,0";"8,8";"";"0,0"
"20/10/2025";"0400";"17,5";"17,9";"17,5";"81,0";"82,0";"80,0";"14,2";"14,7";"14,1";"1017,6";"1017,8";"1017,6";"4,1";"223,0";"8,3";"";"0,0"
"20/10/2025";"0500";"17,9";"18,1";"17,5";"78,0";"81,0";"78,0";"14,1";"14,2";"14,1";"1016,7";"1017,6";"1016,7";"4,9";"210,0";"9,4";"";"0,0"
"20/10/2025";"0600";"17,4";"18,0";"17,4";"81,0";"81,0";"78,0";"14,0";"14,1";"14,0";"1017,0";"1017,0";"1016,6";"5,6";"220,0";"9,6";"";"0,0"
"20/10/2025";"0700";"16,6";"17,4";"16,6";"80,0";"83,0";"80,0";"13,2";"14,1";"13,2";"1017,8";"1017,8";"1017,0";"3,6";"220,0";"9,5";"";"0,0"
"20/10/2025";"0800";"16,5";"16,8";"15,9";"83,0";"83,0";"80,0";"13,6";"13,6";"13,0";"1018,6";"1018,6";"1017,8";"4,1";"225,0";"7,0";"";"0,0"
"20/10/2025";"0900";"17,2";"17,2";"16,3";"82,0";"85,0";"82,0";"14,0";"14,0";"13,6";"1019,1";"1019,2";"1018,6";"4,0";"215,0";"6,9";"145,80";"0,0"
"20/10/2025";"1000";"19,6";"19,7";"17,2";"71,0";"82,0";"71,0";"14,2";"14,7";"14,0";"1020,4";"1020,4";"1019,1";"4,5";"217,0";"8,6";"874,20";"0,0"
"20/10/2025";"1100";"21,3";"21,3";"19,3";"65,0";"73,0";"64,0";"14,5";"15,1";"14,1";"1020,8";"1020,8";"1020,4";"5,0";"210,0";"10,2";"1616,40";"0,0"
"20/10/2025";"1200";"18,2";"22,3";"18,2";"77,0";"77,0";"59,0";"14,2";"14,6";"13,2";"1021,6";"1021,6";"1020,8";"6,7";"205,0";"14,2";"2053,40";"0,0"
"20/10/2025";"1300";"21,4";"22,2";"17,7";"65,0";"85,0";"64,0";"14,7";"16,7";"14,4";"1021,5";"1021,8";"1021,5";"5,0";"196,0";"14,2";"2072,10";"0,0"
"20/10/2025";"1400";"22,3";"23,1";"21,1";"53,0";"65,0";"51,0";"12,4";"15,4";"11,9";"1021,3";"1021,6";"1021,3";"3,1";"196,0";"10,3";"2060,50";"0,0"
