"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2024";"0000";"21,6";"21,9";"21,5";"86,0";"86,0";"85,0";"19,2";"19,3";"19,1";"1019,5";"1019,5";"1018,9";"1,6";"138,0";"3,5";"";"0,0"
"01/09/2024";"0100";"21,1";"21,6";"21,1";"88,0";"88,0";"86,0";"19,0";"19,4";"18,9";"1019,8";"1019,8";"1019,5";"1,2";"173,0";"3,1";"";"0,0"
"01/09/2024";"0200";"20,4";"21,1";"20,3";"90,0";"90,0";"88,0";"18,7";"19,0";"18,6";"1019,7";"1019,9";"1019,7";"1,4";"187,0";"2,2";"";"0,0"
"01/09/2024";"0300";"20,1";"20,4";"20,1";"92,0";"92,0";"90,0";"18,8";"18,9";"18,5";"1019,5";"1019,7";"1019,5";"0,9";"181,0";"2,4";"";"0,0"
"01/09/2024";"0400";"20,0";"20,3";"20,0";"93,0";"93,0";"92,0";"18,9";"19,2";"18,7";"1018,6";"1019,5";"1018,6";"1,3";"197,0";"1,8";"";"0,0"
"01/09/2024";"0500";"19,8";"20,0";"19,7";"94,0";"95,0";"93,0";"18,9";"19,0";"18,6";"1018,0";"1018,6";"1018,0";"1,1";"167,0";"2,3";"";"0,0"
"01/09/2024";"0600";"18,7";"19,8";"18,6";"95,0";"95,0";"94,0";"17,9";"18,9";"17,7";"1017,4";"1018,0";"1017,4";"1,1";"232,0";"2,5";"";"0,0"
"01/09/2024";"0700";"17,8";"18,8";"17,7";"95,0";"95,0";"95,0";"17,0";"18,0";"16,9";"1017,3";"1017,4";"1017,2";"1,2";"236,0";"1,8";"";"0,0"
"01/09/2024";"0800";"17,9";"18,2";"17,7";"95,0";"95,0";"95,0";"17,1";"17,5";"16,9";"1017,5";"1017,5";"1017,3";"1,2";"274,0";"1,7";"";"0,0"
"01/09/2024";"0900";"18,1";"18,2";"17,3";"95,0";"95,0";"95,0";"17,4";"17,4";"16,6";"1017,7";"1017,8";"1017,5";"1,7";"293,0";"2,3";"";"0,0"
"01/09/2024";"1000";"19,3";"19,3";"17,6";"95,0";"96,0";"95,0";"18,5";"18,5";"16,9";"1018,1";"1018,2";"1017,7";"1,0";"293,0";"2,4";"220,00";"0,0"
