abracris flavolineata
acacia
acacia mangium
acalypha
achillea millefolium
aconophorini
acromyrmex
aedes aegypti
aegithus rufipennis
aetalion reticulatum
agaricus
aglais io
agrocybe
albizia
albizia lebbeck
alpaida versicolor
alternanthera
alternanthera ficoidea
alternanthera philoxeroides
alternanthera pungens
alternanthera tenella
alysicarpus
alysicarpus vaginalis
amaranthus spinosus
amaranthus viridis
amphilophium crucigerum
amynthas gracilis
anartia jatrophae
angiospermae
anisoptera
anteos menippe
anthophila
apis mellifera
apodidae
aramides saracura
araneae
aratinga aurea
ardea alba
argiope argentata
artibeus lituratus
ascia monuste
asemeia violacea
asiopus minimus
asteraceae
athene cunicularia
atta
atta sexdens
augochlora
augochlora aurifera
azemca wolaica
baccharis dracunculifolia
baccharis trinervis
basella alba
bemisia tabaci
berytidae
biblis hyperia
bidens pilosa
blaberoidea
blattella germanica
blattodea
boerhavia cylindrica
boerhavia diffusa
brachiaria decumbens
brachiaria mutica
brachygastra lecheguana
bradybaena similaris
brassica juncea
bryophyta
bubulcus ibis
bulimulus
bulimulus tenuissimus
burnsius orcus
burnsius orcynoides
caelifera
cairina moschata
calvatia gigantea
camponotus
camponotus cruentatus
camponotus pennsylvanicus
camptostoma obsoletum
carcara plancus
cathartes burrovianus
cecropia
cecropia hololeuca
cecropia pachystachia
cenchrus echinatus
centris
centrosema brasilianum
cephalotes
ceratopogonidae
chamaecrista nictitans
chamaecrista rotundifolia
chilocorus nigritus
chilopoda
chionomesa frimbriata
chloris
chloris barbata
chloris virgata
choptophaga ani
chordeiles acutipennis
christella dentata
chroicocephalus cirrocephalus
chrysothrix xanthina
cicadidae
cissus
cissus verticillata
citrullus lanatus
cleome
cleome aculeata
cloris barbata
clovis barbata
coccinella
coenagrion puella
coereba flaveola
colaptes campestris
coleoptera
columba livia
columbina picui
columbina squammata
columbina talpacoti
commelina erecta
condylostylus
condylostylus longicornis
condylostylus sipho
conirostrum speciosum
conyza bonariensis
copestylum sexmaculatum
coprinellus
coragyps atratus
cordia ecalyculata
cornu aspersum
coronopus didymus
cranioleuca pallida
cratomorphus
crepis capillaris
crotalaria spectabilis
croton hirtus
crotophaga ani
cryptotermes brevis
cubaris murina
cubarus murina
cucumis
cucumis anguria
cucurbitaceae
culicidae
culicoides paraensis
curinus coeruleus
cyanerpes cyaneus
cyanthillium cinereum
cycloneda sanguinea
cymaenes tripunctus
cynodon dactylon
cyperus esculentus
cyperus rotundus
cyrtocymura scorpioides
dactyloctenium aegyptium
dactylopius coccus
danaus erippus
danaus plexippus
daphnia
dermaptera
desmodion triflorum
desmodium adscendens
desmodium incanum
desmodium tortuosum
didelphis albiventris
dieffenbachia
digitaria insularis
dione juno
dione vanillae
diptera
dirinaria
disonycha
disonycha spilotrachela
distimake cissoides
dorymyrmex
dosmodium triflorum
drosophila melanogaster
dryas iulia
drymaria cordata
dysdercus
dysphania ambrosioides
dytiscidae
echinocystis lobata
eclipta prostrata
ectatomma
ectatomma brunneum
ectatomma permagnum
ectatomma tuberculatum
egretta thula
elaenia
elaenia flavigaster
elaenia spectabilis
eleocharis
eleusine indica
emilia fosbergii
emilia sonchifolia
emillia fosbergii
empoasca kraemeri
enallagma novaehispaniae
episyrphus balteatus
eriophora edax
erythemis vesiculosa
estrilda astrid
euglossa
eulaema nigrita
eulimnadia
eulimnia
eupetomena macroura
euphonia chlorotica
euphonia violacea
euphorbia
euphorbia dichroa
euphorbia dioeca
euphorbia graminea
euphorbia heterophylla
euphorbia hirta
euphorbia hyssopifolia
euphorbia prostrata
eupsittula aurea
evolvolus
evolvulis nummularius
evolvulus
evolvulus evolvulus
evolvulus glomeratus
evolvulus nummularius
exomalopsis
fabaceae
falco
falco sparverius
fidicina
fidicina mannifera
flavoparmelia caperata
flavopunctelia soredica
fluvicola nengeta
formicidae
frigga
fungi
furnarius figulus
furnarius rufus
galinsoga parviflora
geometridae
gomphrena celosioides
gomphrena globosa
greta oto
gryllidae
gryne
guazuma ulmifolia
guira guira
hamadryas
hamadryas amphionome
hamadryas feronia
heliconius erato
heliconius erato phillys
heliconius ethilla
heliocarpus
heliocarpus terebinthinaceus
hemiargus hanno
hemidactylus mabouia
hemiptera
heraclides anchisiades
heteroptera
hexagonia hydnoides
hipertuberculate
hirundinidae
hirundo rustica
hygrocybe
hylophilus thoracicus
hymenoptera
indigofera
indigofera hirsuta
indigofera suffruticosa
ipomea
isoptera
jatropha gossypiifolia
jequitirana brasiliensis
juliformia
junonia evarete
lagria villosa
lantana camara
laportea aestuans
latrodectus
lentinus
lentinus crinitus
leonurus sibiricus
lepdoptera
lepidium virginicum
leptodactylus fuscus
leptodactylus latrans
leucaena
leucaena leucocephala
leucauge argyra
leucema leucocephala
lophocampa annulosa
lophocampa modesta
lucilia
lucilia sericata
lycianthes asarifolia
lycogala
lycoperdon
lycosa
lycosidae
machetornis rixosa
macroptilium atropurpereum
macroptilium atropurpureum
malvaceae
mantis religiosa
marasmius
marsypianthes chamaedrys
mechanitis lysimnia
mechanitis polymnia
megalopyge
megarhynchus pitangua
megarynchus pitangua
melothria cucumis
membracis trimaculata
menemerus bivittatus
milipedis
milvago chimachima
mimosa pudica
mimus saturninus
mirabilis jalapa
misumenops maculissparsus
molothrus
molothrus bonariensis
moringa oleifera
mormodica charantia
murraya paniculata
musca domestica
myiarchus tyrannulus
myiozetetes similis
nannopterum brasilianum
nannotrigona testaceicornes
nasutitermes
nemosia pileata
neolochmaea dilatipennis
neomegalotomus parvus
neoponera
neoponera foetida
nephilingis curentata
nephrolepsis exaltata
nicotiana tabacum
notiochelidon cyanoleuca
odonata
odontomachus
oeceoclades maculata
oiketicus kirbyi
oldenlandia corymbosa
oniscidea
ophulella
orphurella punctata
ortoptera
oryza sativa
oxalis
oxalis barrelieri
oxalis corniculata
oxalis latifolia
oxalis triangularis
oxidus gracilis
oxyloma
pachyramphus polychopterus
palpada
palpada mexicana
panicum maximum
pannus strigellus
papilio thoas
parabuteo unicinctus
parthenium hysterophorus
paspalum
paspalum conjugatum
paspalum notatum
passer domesticus
passiflora alata
patagioenas picazuro
pectis prostrata
pentatomidae
peperomia pellucida
pepsis
perithemis tenera
phacellodomus rufifrons
phalaris arundinacea
phobetron
phoebis
phoebis marcelina
phoebis statira
phyllanthus tenellus
piaya cayana
picumnis cirratus
pilea microphylla
piper cubcularum
piper tuberculatum
pitangus sulphuratus
plantago major
pleurotus djamor
plexippus paykulli
poaceae
polistes
polistes canadensis
polistes lanio
polistes videx
polybia
polybia sericea
pompeius pompeius
portulaca
portulaca halimoides
portulaca oleracea
primolius maracana
priva lappulacea
progne tapera
psathyrellaceae
pseudelephantopus spicatus
pseudomyrmex
psidium guajava
psilodum
ptagioenas picazuro
pteris
pycnoscelus surinamensis
pygochelidon cyanoleuca
pyrisitia nise
quesada gigas
ramalina
ramalina complanata
ramphastidae
ramphastos toco
rhipicephalus sanguineus
rhipsalis
rhipsalis floccosa
rhipsalis lindberghiana
rhynchospora speciosa
richardia brasiliensis
ricinus communis
rivina humilis
rostrhamus sociabilis
ruellia
ruellia blechum
ruellia paniculata
rumex obtusifolius
rupornis magnirostris
rynchospora speciosa
salticidae
salvator merianae
salvia officinalis
sarasinula plebeia
sarcophaga
sarcophagidae
schefflera actinophylla
schinus terebinthifolia
scinax
scinax fuscovarius
scolopendridae
serpophaga subcristata
setaria parviflora
setophaga pitiayumi
sicalis flaveola
sida
sida acuta
sida cordifolia
siproeta stelenes
solanim
solanum
solanum americanum
solanum diphyllum
solanum paniculatum
solanum sisymbriifolium
solanum torvum
solenopsis
sonchus asper
sonchus oleraceus
spermacoce verticillata
sporobolus
stenammini
stenotaphrum secundatum
struthanthus flexicaulis
strymon
strymon bobustus
subulina octona
synallaxis frontalis
synedrella nodiflora
syngonium podophylum
syntermes molestus
syzygium aromaticus
syzygium cumini
tabernaemontana catharinensis
tachycineta albiventer
talinum fruticosum
talinum paniculatum
tangara cayana
tapera naevia
taraxacum officinale
teminius
tephrosia noctiflora
termitoidea
tersina viridis
tetragonisca angustula
thamnophilus doliatus
thorybes dorantes
thraupis palmarum
thraupis sayaca
thumbergia alata
thyene coccineavittata
tillandsia
tillandsia recurvata
tillandsia stricta
tillandsia tricholeps
todirostrum cinereum
tolmomyias flaviventris
trachelopachys
trametes
trametes cubensis
trametes sanguinea
trema micrantha
trianthema portulacastrum
tridax procubens
trigona spinipes
triplaris americana
trochillidae
trochosa
troglodytes musculus
tropidurus torquatus
ttianthena portulacostrum
turdus leucomelas
turdus rufiventris
turnera subulata
tyrannus melancolichus
tyrannus savana
uranophora
urbanus proteus
urochloa
uroleucon
urtica
usnea
usnea barbata
vanellus chilensis
varronia curassavica
vernonanthura
vespidae
volatina jacarina
volatinia jacarina
xanthoria parietina
xyleus
xylocopa frontalis
xylophanes tersa
youngia japonica
zenaida
zenaida auriculata
zephyranthes candida
zeta argillaceum
zonotrichia capensis
zornia latifolia
