scientificName,taxon_corrigido,nome_comum_final
Acacia mangium,Acacia mangium,acácia
Acromyrmex,Acromyrmex,quenquén
Aedes aegypti,Aedes aegypti,mosquito-da-dengue
Agaricus,Agaricus,cogumelo
Albizia lebbeck,Albizia lebbeck,albízia
Alternanthera ficoidea,Alternanthera ficoidea,quebra-panela
Alternanthera philoxeroides,Alternanthera philoxeroides,erva-jacaré 
Alysicarpus vaginalis,Alysicarpus vaginalis,
Amaranthus spinosus,Amaranthus spinosus,caruru-de-espinho
Amaranthus viridis,Amaranthus viridis,caruru-de-mancha
Amphilophium crucigerum,Amphilophium crucigerum,pente-de-macaco
Anartia jatrophae,Anartia jatrophae,borboleta-pavão-branco
Andropogon virginicus,Andropogon virginicus,barba-de-bode; capim-barba-de-bode
Angiosperma,Magnoliophyta,angiosperma
Apis mellifera,Apis mellifera,abelha-do-mel
Aramides saracura,Aramides saracura,saracura-do-mato
Araneae,Araneae,aranha
Araneidae,Araneidae,aranha-orbitelar
Ardea alba,Ardea alba,garça-branca-grande
Argiope argentata,Argiope argentata,aranha-de-prata
Ascia monuste,Ascia monuste,borboleta-da-couve
Asemeia violacea,Asemeia violacea,
Asiopus minimus,Asiopus minimus,tenébrio
Athene cunicularia,Athene cunicularia,coruja-buraqueira
Atta,Atta,saúva
Automeris,Automeris,
Baccharis dracunculifolia,Baccharis dracunculifolia,vassoura
Bemisia tabaci,Bemisia tabaci,mosca branca
Bidens pilosa,Bidens pilosa,picão-preto
Blaberidae ,Blaberoidea,barata
Blaberoidea,Blaberoidea,barata
Boehmeria cylindrica,Boehmeria cylindrica,falsa-urtiga
Boerhavia diffusa,Boerhavia diffusa,erva-tostão
Brachiaria decumbens,Brachiaria decumbens,capim-braquiária
Brachygastra lecheguana,Brachygastra lecheguana,enxu-verdadeiro
Bradybaena similaris,Bradybaena similaris,caracol-asiático
Bryophyta,Bryophyta,musgo
Bubulcus ibis,Bubulcus ibis,garça-vaqueira
Bulimulus tenuissimus,Bulimulus tenuissimus,caracol-fantasma
Burnsius orcus,Burnsius orcus,
Burnsius orcynoides,Burnsius orcynoides,
Bystropogon maderensis,Bystropogon maderensis,quebra-panela 
Camponotus,Camponotus,formiga-preta
Camponotus cruentatus,Camponotus cruentatus,formiga-carpinteira
Camponotus pennsylvanicus,Camponotus pennsylvanicus,formiga-carpinteira
Camptostoma obsoletum,Camptostoma obsoletum,risadinha
Canna indica,Canna indica,cana-da-índia
Caracara plancus,Caracara plancus,carcará 
Cathartes burrovianus,Cathartes burrovianus,urubu-de-cabeça-amarela
Cecropia glaziovii,Cecropia glaziovii,embaúba-vermelha-do-sul
Cecropia pachystachya,Cecropia pachystachya,embaúba
Cenchrus echinatus,Cenchrus echinatus,capim-carrapicho
