data,horario,local,coletor,taxon,nome_comum,taxon_corrigido,nome_comum_corrigido,
2024-09-05,06:11,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Guira guira,anú-branco,Guira guira,anu-branco,
2024-09-05,06:12,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Eulaema nigrita,abelha-de-orquídea,Eulaema nigrita,abelha-de-orquídea,
2024-09-05,06:13,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Spermacoce verticillata,vassourinha-de-botão,Spermacoce verticillata,vassourinha-de-botão,
2024-09-05,06:13,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Eupetomena macroura,beija-flor-tesoura,Eupetomena macroura,beija-flor-tesoura,
2024-09-05,06:13,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Xylocopa frontalis,mamangava / mangangá / abelha-carpinteira,Xylocopa frontalis,Mamangava; mangangá; abelha-carpinteira,
2024-09-05,06:15,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Sicalis flaveola,canário-da-terra,Sicalis flaveola,canário-da-terra,
2024-09-05,06:24,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando / avoante,Zenaida auriculata,pomba-de-bando; avoante,
2024-09-05,06:26,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Lepidoptera,mariposa,Lepidoptera,boboleta/mariposa,
2024-09-05,06:33,Ponto 2,Gabriel/Clarisse/Lorena/Thallita/César,Termitoidae,cupim,Termitoidae,cupim,
2024-09-05,06:33,Ponto 2,Gabriel/Clarisse/Lorena/Thallita/César,Pycnoscelus surinamensis,barata-de-jardim,Pycnoscelus surinamensis,Barata-de-jardim,
2024-09-05,06:39,Ponto 2,Gabriel/Clarisse/Lorena/Thallita/César,Furnarius rufus,joão-de-barro,Furnarius rufus,joão-de-barro,
2024-09-05,06:52,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Formicidae,formiga,Formicidae,formiga,
2024-09-05,06:55,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Lucilia sericata,mosca-verde,Lucilia sericata,mosca-verde,
2024-09-05,06:56,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Sicalis flaveola,canário-da-terra,Sicalis flaveola,canário-da-terra,
2024-09-05,06:59,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Troglodytes musculus,curruíra,Troglodytes musculus,curruíra,
2024-09-05,07:00,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Mimosa pudica,lavadeira-mascarada,Mimosa pudica,dormideira,
2024-09-05,07:02,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Columba livia,pombo-doméstico,Columba livia,pombo-doméstico,
2024-09-05,07:04,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Mimosa pudica,dormideira,Mimosa pudica,dormideira,
2024-09-05,07:06,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Chionomesa fimbriata,beija-flor-de-garganta-verde,Chionomesa fimbriata,beija-flor-de-garganta-verde,
2024-09-05,07:07,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando / avoante,Zenaida auriculata,pomba-de-bando; avoante,
2024-09-05,07:11,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Commelina erecta,trapoeraba,Commelina erecta,trapoeraba,
2024-09-05,07:20,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Solenopsis,formiga-quente / formiga-lava-pés / formiga-de-fogo,Solenopsis,formiga-quente; formiga-lava-pés; formiga-de-fogo,
2024-09-05,07:21,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Turnera subulata,xanana,Turnera subulata,xanana,
2024-09-05,07:22,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Cubaris murina,tatuzinho-de-jardim-de-jardim,Cubaris murina,tatuzinho-de-jardim,
2024-09-05,07:22,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Juliformia,gongolo / maria-café,Juliformia,gongolo; maria-café,
2024-09-05,07:29,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando / avoante,Zenaida auriculata,pomba-de-bando; avoante,
2024-09-05,07:30,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Furnarius rufus,joão-de-barro,Furnarius rufus,joão-de-barro,
2024-09-05,07:33,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Lepidoptera,mariposa,Lepidoptera,boboleta/mariposa,
2024-09-05,07:36,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Vanellus chilensis,quero-quero,Vanellus chilensis,quero-quero,
2024-09-05,07:37,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Hymenoptera,vespa,Hymenoptera,vespa,
2024-09-05,07:41,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Pitangus sulphuratus,bem-te-vi,Pitangus sulphutarus,bem-te-vi,
2024-09-05,07:42,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Siproeta stelenes,borboleta-malaquita,Siproeta stelenes,borboleta-malaquita,
2024-09-05,07:43,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Talinum fruticosum,saíra-amarela,Talinum fruticosum,beldroega-grande,
2024-09-05,07:45,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Formicidae,formiga,Formicidae,formiga,
2024-09-05,07:47,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Talinum fruticosum,beldroega-grande,Talinum fruticosum,beldroega-grande,
2024-09-05,07:49,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Thraupis palmarum,sanhaço-do-coqueiro,Thraupis palmarum,sanhaço-do-coqueiro,
2024-09-05,07:49,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Columba livia,pombo-doméstico,Columba livia,pombo-doméstico,
2024-09-05,07:49,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Crotophaga ani,anú-preto,Crotophaga ani,anu-preto,
2024-09-05,07:55,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Crotophaga ani,anú-preto,Crotophaga ani,anu-preto,
2024-09-05,07:56,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Solenopsis,formiga-quente,Solenopsis,formiga-quente; formiga-lava-pés; formiga-de-fogo,
2024-09-05,07:57,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Xylocopa frontalis,mamangava / mangangá / abelha-carpinteira,Xylocopa frontalis,Mamangava; mangangá; abelha-carpinteira,
2024-09-05,08:00,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Hamadryas,boboleta-estala-pau,#N/A,#N/A,
2024-09-05,08:03,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Juliformia,lavadeira-mascarada,Juliformia,gongolo; maria-café,
2024-09-05,08:03,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Pentatomidae,maria-fedida,Pentatomidae,maria-fedida,
2024-09-05,08:05,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Juliformia,gongolo / maria-café ,Juliformia,gongolo; maria-café,
2024-09-05,08:07,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Anartia jatrophae,borboleta-pavão-branco,Anartia jatrophae,borboleta-pavão-branco,
2024-09-05,08:08,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Hymenoptera,vespa,Hymenoptera,vespa,
2024-09-05,08:18,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/César,Coereba flaveola,cambacica (cebinho),Coereba flaveola,cambacica,
2024-09-05,08:18,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/César,Tyrannus melancholicus,suiriri,Tyrannus melancolichus,suiriri,
2024-09-05,08:29,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/César,Picumnus cirratus,picapauzinho-barrado,Picumnus cirratus,picapauzinho-barrado,
2024-09-05,08:30,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/César,Thraupis sayaca,sanhaçu-cinzento,Thraupis sayaca,sanhaçu-cinzento,
2024-09-05,08:30,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/César,Misumenops maculissparsus,aranha-caranguejo,Misumenops maculissparsus,aranha-caranguejo,
2024-09-05,08:34,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/César,Columba livia,pombo-doméstico,Columba livia,pombo-doméstico,
2024-09-05,08:35,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando,Zenaida auriculata,pomba-de-bando; avoante,
2024-09-12,06:18,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Hymenoptera,vespa,Hymenoptera,vespa,
2024-09-12,06:18,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Crotophaga ani,anú-preto,Crotophaga ani,anu-preto,
2024-09-12,06:19,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Columba livia,pombo-doméstico,Columba livia,pombo-doméstico,
2024-09-12,06:21,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Turnera subulata,xanana,Turnera subulata,xanana,
2024-09-12,06:21,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Formicidae,formiga,Formicidae,formiga,
2024-09-12,06:21,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Thraupis palmarum,sanhaço-do-coqueiro,Thraupis palmarum,sanhaço-do-coqueiro,
2024-09-12,06:21,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Molothrus bonariensis,pássaro-preto / chupim,Molothrus bonariensis,chupim,
2024-09-12,06:22,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Furnarius rufus,joão-de-barro,Furnarius rufus,joão-de-barro,
2024-09-12,06:22,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Pitangus sulphuratus,bem-te-vi,Pitangus sulphutarus,bem-te-vi,
2024-09-12,06:22,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Zenaida auriculata,pomba-de-bando,Zenaida auriculata,pomba-de-bando; avoante,
2024-09-12,06:22,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Nemosia pileata,saíra-de-chapéu-preto,Nemosia pileata,saíra-de-chapéu-preto,
2024-09-12,06:22,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Caracara plancus,carcará,Caracara plancus,carcará ,
2024-09-12,06:23,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Progne tapera,andorinha-do-campo,Progne tapera,andorinha-do-campo,
2024-09-12,06:23,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Ramalina complanata,ramalina,Ramalina complanata,ramalina,
2024-09-12,06:23,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Tillandsia stricta,cravo-do-mato,Tillandsia stricta,cravo-do-mato,
2024-09-12,06:24,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Lepidoptera,mariposa,Lepidoptera,boboleta/mariposa,
2024-09-12,06:25,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Picumnus cirratus,picapauzinho-barrado,Picumnus cirratus,picapauzinho-barrado,
2024-09-12,06:25,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Trigona spinipes,abelha-cachorro,Trigona spinipes,abelha-cachorro,
2024-09-12,06:27,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Columbina talpacoti,rolinha-roxa,Columbina talpacoti,rolinha-roxa,
2024-09-12,06:28,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Tyrannus melancholicus,suiriri,Tyrannus melancolichus,suiriri,
2024-09-12,06:31,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Coereba flaveola,cambacica / cebinho,Coereba flaveola,cambacica,
2024-09-12,06:32,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Sicalis flaveola,canário-da-terra,Sicalis flaveola,canário-da-terra,
2024-09-12,06:32,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Vanellus chilensis,quero-quero,Vanellus chilensis,quero-quero,
2024-09-12,06:33,Ponto 10,Gabriel/Clarisse/Lorena/Thallita/Pablo,Progne tapera,andorinha-do-campo,Progne tapera,andorinha-do-campo,
2024-09-12,06:34,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Tillandsia stricta,cravo-do-mato,Tillandsia stricta,cravo-do-mato,
2024-09-12,06:35,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Argiope argentata,aranha-de-prata,Argiope argentata,aranha-de-prata,
2024-09-12,06:35,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Agaricus,cogumelo,Agaricus,cogumelo,
2024-09-12,06:36,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Fidicini,cigarra,#N/A,#N/A,
2024-09-12,06:36,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Todirostrum cinereum,ferreirinho-relógio,Todirostrum cinereum,ferreirinho-relógio,
2024-09-12,06:36,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Sicalis flaveola,canário-da-terra,Sicalis flaveola,canário-da-terra,
2024-09-12,06:37,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Heteroptera,percevejo,Heteroptera,percevejo,
2024-09-12,06:38,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Bryophyta,musgo,Bryophyta,musgo,
2024-09-12,06:39,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Solenopsis,formiga-quente,Solenopsis,formiga-quente; formiga-lava-pés; formiga-de-fogo,
2024-09-12,06:40,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Formicidae,formiga,Formicidae,formiga,
2024-09-12,06:40,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Blaberoidea,barata,Blaberoidea,barata,
2024-09-12,06:41,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Culicidae,mosquito,Culicidae,,
2024-09-12,06:44,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Euphonia chlorotica,fim-fim,Euphonia chlorotica,fim-fim,
2024-09-12,06:45,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Columbina livia,pombo-doméstico,#N/A,#N/A,
2024-09-12,06:46,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Tridax procumbens,erva-de-touro,Tridax procumbens,erva-de-touro,
2024-09-12,06:48,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Eulaema nigrita,abelha-de-orquídea,Eulaema nigrita,abelha-de-orquídea,
2024-09-12,06:48,Ponto 9,Gabriel/Clarisse/Lorena/Thallita/Pablo,Sicalis flaveola,canário-da-terra,Sicalis flaveola,canário-da-terra,
2024-09-12,06:51,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/Pablo,Tapera naevia,saci,Tapera naevia,saci,
2024-09-12,06:51,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/Pablo,Tropidurus torquatus,calango,Tropidurus torquatus,calango; tropiduro-comum,
