scientificName
Abrachis flavolineata
Acacia mangium
Acalypha 
Acalypha
Acanthospermum hispidum
Aconophorini
Acromyrmex
Aedes aegypti
Aetalion reticulatum
Agaricus
Alpaida versicolor
Alternanthera
Alternanthera ficoidea
Alternanthera philoxeroides
Alternanthera tenella
Althernantera
Alyricarpus vaginalis
Alysicarous vaginalis
Alysicarpus
Alysicarpus 
Alysicarpus vaginalis
Amaranthus spinosus
Amaranthus viridis
Amynthas gracilis
Anartia
Anartia jatrophae
Angiosperma
Anisoptera
Anteos menippe
Anthophila
Apis mellifera
Aramides saracura
Araneae
Araneidae
Aratinga aurea
Argiope argentata
Ascia monuste
Asiopus minimus
Athene cunicularia
Atta
Atta robusta
Atta sexdens
Augochlora
Augochlora aurifera
Baccharis dracunculifolia
Berytidae
Bidens pilosa
Blaberoidea
Boehmeria cylindrica
Boerhavia diffusa
Brachiaria decumbens
Brachiaria mutica
Brachygastra lecheguana
Bradybaena similaris
Bryophyta
Bulimulus
Bulimulus tenuissimus
Burnsius orcus
Caelifera
Camponotus cruentatus
Camptostoma obsoletum
capim-rabo-de-raposa
Caracara plancus
Carcara plancus
Cathartes burrovianus
Cenchrus echinatus
Centris
Centrosema brasilianum
Ceratopogonidae
Chamaecrista nictitans
Chamaecrista rotundifolia
Chilocorus nigritus
Chilopoda
Chilucrus nigritus
Chionomesa fimbriata
Chloris virgata
Chrysothrix xanthina
Cicadidae
Cissus verticillata
Cleome
Cleome 
Cleome aculeata
Coccinellidae
Coereba flaveola
Columba livia
Columbia picui
Columbina livia
Columbina picui
Columbina squammata
Columbina talpacoti
Commelina
Commelina erecta
Condylostylus
Condylostylus longicornis
Conirostrum speciosum
Copestylum sexmaculatum
Coragyps atratus
Coronopus didymus
Cratomorphus
Crepis capillaris
Crotalaria spectabilis
Crotophaga ani
Cubaris murina
Cucumis
Cucurbitaceae
Culicidae
Cyanerpes cyaneus
Cyanthillium cinereum
Cycloneda sanguinea
Cynodon dactylon
Cyperus rotundifolia
Cyperus rotundus
Danaus plexippus
Daphinia
Daphnia
Desmodium adscendens
Desmodium incanum
Didelphis
Digitaria insularis
Diptera
Dirinaria
Disonycha
Disonycha spilotrachela
Dorymyrmex
Drosophila melanogaster
Drymaria cordata
Duranta vestita
Dysdercus
Dysphania ambrosioides
Dytiscidae
Eclipta prostrata
Ectatoma
Ectatomma
Ectatomma permagnum
Egretta thula
Elaenia flavogaster
Elaenia spectabilis
Eleocharis
Eleusine indica
Emilia fosbergii
Emilia sonchifolia
Emillia fosbergii
Empoasca kraemeri
Episyrphus balteatus
Erythemis vesiculosa
Estrilda astrid
Euglossa
Eulaema nigrita
Eulimnia
Eupetomena macroura
Euphonia chlorotica
Euphonia violacea
Euphorbia
Euphorbia dioeca
Euphorbia graminea
Euphorbia heterophylla
Euphorbia hirta
Euphorbia hyssopifolia
Euphorbia prostrata
Eupsittula aurea
Evolvulus
Evolvulus nummularius
Evolvulus nuttallianus
Exomalopsis
Fabacea sp 2
Fabaceae
Falco sparverius
Fidicina
Fidicini
Fluvicola nengeta
Formicidae
Formicinae
Formicinea
Fungus
Furnarius figulus
Furnarius rufus
Furrnarius rufus
Galinsoga parviflora
Geometridae
Gomphrena celosioides
Gomphrena globosa
Gryllidae
Gryne
Guazuma ulmifolia
Guira guira
Hamadryas
Hamadryas amphionome
Hamadryas feronia
Heliconius erato phillys
Heliconius erato phylllis
Heliocarpus
Heliocarpus terebinthinaceus
Hemiargus hanno
Hemidactylus mabouia
Heteroptera
Hymenoptera
Indigofera
Indigofera hirsuta
Indigofera suffruticosa
Ipomea
Ipomoea
Isoptera
Juliformia
Junonia evarete
Lagria villosa
Lantana camara
Lentinus
Lentinus crinitus
Leonurus sibiricus
Lepidium virginicum
Lepidoptera
Leucaena leucocephala
Leucauge argyra
Leucema 
Lucilia
Lycogala
Lycosidae
Lycosinae
Machertonis rixosa
Machetornis rixosa
Macroptilium atropurpereum
Macroptilium atropurpureum
Malvacae
Malvaceae
Mechanitis polymnia
Megarynchus pitangua
Menemerus bivittatus
Mimosa pudica
Mimosa pudica 
Mimus saturninus
Mirabilis jalapa
Molothrus
Molothrus bonariensis
Moringa oleifera
Mormodica charantia
Murraya paniculata
Myiozetetes similis
Nannotrigona testaceicornes
Nemosia pileata
Neolochmaea dilatipennis
Neoponera
