instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;reg_antes_apos_curso;registros_pre_curso;registros_pos_curso;registrou;tempo_no_IN;tempo_primeiro_post;tempo_ativo
;adalbertoserafimquintal;28/04/2019;08/03/2020;08/03/2020;1;0;;;;;Sim;1685;315;0
;adassoler;22/05/2020;22/05/2020;12/06/2023;4;3;;;;;Sim;1295;0;1116
;adelmoodesouza;23/08/2015;23/08/2015;07/03/2020;1;1;;;;;Sim;3029;0;1658
;ademirxavierdias;26/06/2022;26/06/2022;19/04/2023;3;0;;;;;Sim;530;0;297
;adilsonbezerra;25/04/2020;25/04/2020;05/06/2020;1;1;;;;;Sim;1322;0;41
;admircjr;25/05/2023;25/05/2023;08/09/2023;2;2;;;;;Sim;197;0;106
;adrianagomes;11/06/2023;11/06/2023;11/06/2023;1;1;;;;;Sim;180;0;0
;afonso38;14/07/2022;23/12/2022;23/12/2022;1;1;;;;;Sim;512;162;0
;ajluz;29/11/2018;29/11/2018;22/09/2022;10;5;;;;;Sim;1835;0;1393
;alessandra87;28/10/2018;28/10/2018;04/05/2019;1;0;;;;;Sim;1867;0;188
;alessandro_terra_paes;22/05/2020;25/07/2021;20/08/2022;1;1;;;;;Sim;1295;429;391
;alexsandro6;23/11/2020;27/11/2020;27/11/2020;1;0;;;;;Sim;1110;4;0
alicereis16;alicereis16;14/04/2023;02/06/2023;01/08/2023;12;4;;;;;Sim;238;49;60
;alineporto;06/07/2019;06/07/2019;06/07/2019;1;0;;;;;Sim;1616;0;0
;allan323;20/05/2022;20/05/2022;10/01/2023;1;1;;;;;Sim;567;0;235
;allanis;07/11/2022;07/11/2022;13/09/2023;6;0;;;;;Sim;396;0;310
;almir_herms;15/01/2021;20/01/2021;20/01/2021;2;1;;;;;Sim;1057;5;0
;amanda_santos1;10/05/2021;10/05/2021;02/01/2023;1;0;;;;;Sim;942;0;602
;amanda2595;26/04/2022;26/04/2022;26/04/2022;2;0;;;;;Sim;591;0;0
;amaro3;24/10/2021;24/10/2021;24/10/2021;1;1;;;;;Sim;775;0;0
;ana_angelica;19/10/2021;19/10/2021;19/10/2021;1;1;;;;;Sim;780;0;0
;ana_paula12;18/01/2021;03/02/2023;23/08/2023;3;3;;;;;Sim;1054;746;201
ana___valadares;ana2472;31/05/2023;31/05/2023;28/06/2023;23;17;;;;;Sim;191;0;28
;ana2472;31/05/2023;31/05/2023;28/06/2023;21;9;;;;;Sim;191;0;28
;ana667;14/12/2019;14/12/2019;14/12/2019;6;4;;;;;Sim;1455;0;0
;analeticiagds;29/06/2023;29/06/2023;30/06/2023;5;3;;;;;Sim;162;0;1
;analuciajardim;26/07/2020;20/09/2020;20/09/2020;1;1;;;;;Sim;1230;56;0
;andrehronzani;25/10/2022;28/10/2022;23/11/2023;1;1;;;;;Sim;409;3;391
;andressa90;21/11/2022;21/11/2022;21/11/2022;1;0;;;;;Sim;382;0;0
;andressatito;13/03/2021;13/03/2021;30/01/2022;3;2;;;;;Sim;1000;0;323
;andrey169;13/07/2022;07/08/2022;06/11/2023;1;1;;;;;Sim;513;25;456
;angela2000;12/05/2023;14/05/2023;20/05/2023;1;0;;;;;Sim;210;2;6
;anniecruz;16/10/2018;16/10/2018;16/10/2018;1;1;;;;;Sim;1879;0;0
;antoniobordignon;02/09/2022;02/09/2022;28/02/2023;5;4;;;;;Sim;462;0;179
;arneholgersson;31/12/2018;31/12/2018;23/11/2023;1;1;;;;;Sim;1803;0;1788
;arthurwsl;30/06/2023;30/06/2023;30/06/2023;1;1;;;;;Sim;161;0;0
;asato;28/05/2015;28/05/2015;28/05/2015;1;0;;;;;Sim;3116;0;0
;atillaferreguetti;21/08/2021;21/08/2021;22/11/2021;4;2;;;;;Sim;839;0;93
;attila21;20/12/2019;20/12/2019;01/12/2023;2;1;;;;;Sim;1449;0;1442
barroqueslais;barroques;06/06/2022;;;;;;;;;;550;;                       
_beabio;beabio_;01/04/2021;01/04/2021;09/03/2023;24;12;;;;;Sim;981;0;707
;beport;31/10/2021;02/11/2021;05/11/2021;1;0;;;;;Sim;768;2;3
;bernardo40;11/05/2019;11/05/2019;11/05/2019;1;1;;;;;Sim;1672;0;0
;bernardo77;26/03/2021;26/03/2021;12/01/2023;10;6;;;;;Sim;987;0;657
;beth753;13/03/2022;13/03/2022;13/03/2022;1;0;;;;;Sim;635;0;0
;biologohenrique;10/11/2021;10/11/2021;10/11/2021;1;0;;;;;Sim;758;0;0
rafa_biologia;biorafa14;31/10/2021;30/12/2023;30/12/2023;91;73;;;;;Sim;768;790;0
brayozoa;brayozoa;23/11/2023;25/11/2023;25/11/2023;13;12;;;;;Sim;15;2;0
brennogbarros;brenno13;03/04/2023;;;;;;;;;;249;                                  ;                        
;bruna79274;04/11/2023;04/11/2023;04/11/2023;1;1;;;;;Sim;34;0;0
;bruno_stellet;27/03/2021;27/03/2021;20/01/2022;11;7;;;;;Sim;986;0;299
;brunobio;22/11/2021;29/11/2021;25/10/2022;3;1;;;;;Sim;746;7;330
;brunoornitologia;11/09/2018;11/09/2018;06/11/2023;4;4;;;;;Sim;1914;0;1882
;caiobastos;12/01/2020;14/01/2020;28/05/2023;50;10;;;;;Sim;1426;2;1230
;caiocaetano98;15/12/2022;17/12/2022;17/12/2022;4;4;;;;;Sim;358;0;0
;caiocrelier;29/07/2020;29/07/2020;05/11/2023;90;31;;;;;Sim;1227;0;1194
;caiodiasbio;07/04/2023;30/04/2023;30/11/2023;19;9;;;;;Sim;245;23;214
