verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Acacia,Acacia Mill.,2978223,HIGHERRANK,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,Acacia,Mill.,2978223
Acacia mangium,Acacia mangium Willd.,2979091,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mangium,Acacia mangium,Willd.,2979091
Acromyrmex,"Acromyrmex Mayr, 1865",1320640,HIGHERRANK,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,,Acromyrmex,"Mayr, 1865",1320640
Aedes aegypti,"Aedes aegypti (Linnaeus, 1762)",1651891,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,Aedes aegypti,"(Linnaeus, 1762)",1651891
Agaricus,"Agaricus Linnaeus, 1753",2518646,HIGHERRANK,92,ACCEPTED,GENUS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,Agaricus,"Linnaeus, 1753",2518646
Albizia,Albizia Durazz.,2972897,EDITED,92,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,,Albizia,,2972897
Albizia lebbeck,Albizia lebbeck (L.) Benth.,2973215,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia lebbeck,Albizia lebbeck,(L.) Benth.,2973215
Alternanthera,Alternanthera Forssk.,3084921,HIGHERRANK,92,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,,Alternanthera,Forssk.,3084921
Alternanthera ficoidea,Alternanthera ficoidea (L.) R.Br.,8160803,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera ficoidea,Alternanthera ficoidea,(L.) R.Br.,8160803
Alternanthera philoxeroides,Alternanthera philoxeroides (Mart.) Griseb.,3084923,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera philoxeroides,Alternanthera philoxeroides,(Mart.) Griseb.,3084923
Alysicarpus,Alysicarpus Desv.,2948588,HIGHERRANK,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Alysicarpus,,Alysicarpus,Desv.,2948588
Alysicarpus vaginalis,Alysicarpus vaginalis (L.) DC.,2948605,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Alysicarpus,Alysicarpus vaginalis,Alysicarpus vaginalis,(L.) DC.,2948605
Amaranthus spinosus,Amaranthus spinosus L.,5384401,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus spinosus,Amaranthus spinosus,L.,5384401
Amaranthus viridis,Amaranthus viridis L.,5384334,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus viridis,Amaranthus viridis,L.,5384334
Amphilophium crucigerum,Amphilophium crucigerum (L.) L.G.Lohmann,4931838,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Amphilophium,Amphilophium crucigerum,Amphilophium crucigerum,(L.) L.G.Lohmann,4931838
Anartia jatrophae,"Anartia jatrophae (Linnaeus, 1763)",5128007,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,Anartia jatrophae,Anartia jatrophae,"(Linnaeus, 1763)",5128007
Andropogon virginicus,Andropogon virginicus L.,2706080,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,Andropogon virginicus,Andropogon virginicus,L.,2706080
Angiosperma,Magnoliophyta,49,EDITED,,SYNONYM,PHYLUM,Plantae,Tracheophyta,,,,,,Magnoliophyta,,
Apis mellifera,"Apis mellifera Linnaeus, 1758",1341976,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,Apis mellifera,"Linnaeus, 1758",1341976
Apodidae,Apodidae,2993,HIGHERRANK,94,ACCEPTED,FAMILY,Animalia,Chordata,Aves,Apodiformes,Apodidae,,,Apodidae,,2993
Aramides saracura,"Aramides saracura (Spix, 1825)",2474658,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,Aramides saracura,Aramides saracura,"(Spix, 1825)",2474658
Araneae,Araneae,1496,HIGHERRANK,94,ACCEPTED,ORDER,Animalia,Arthropoda,Arachnida,Araneae,,,,Araneae,,1496
Araneidae,Araneidae,7359,HIGHERRANK,94,ACCEPTED,FAMILY,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,Araneidae,,7359
Ardea alba,"Ardea alba Linnaeus, 1758",9752617,EXACT,97,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba,Ardea alba,"Linnaeus, 1758",9752617
Argiope argentata,"Argiope argentata (Fabricius, 1775)",5170999,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,Argiope argentata,"(Fabricius, 1775)",5170999
Asemeia violacea,Asemeia violacea (Aubl.) J.F.B.Pastore & J.R.Abbott,8077988,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Asemeia,Asemeia violacea,Asemeia violacea,(Aubl.) J.F.B.Pastore & J.R.Abbott,8077988
Asiopus minimus,"Asiopus Lopatin, 1965",7236134,EDITED,93,SYNONYM,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cryptocephalus,,Asiopus,"Lopatin, 1965",7236134
Athene cunicularia,"Athene cunicularia (Molina, 1782)",2497240,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,Athene cunicularia,"(Molina, 1782)",2497240
Atta,Arthropoda,54,HIGHERRANK,92,ACCEPTED,PHYLUM,Animalia,Arthropoda,,,,,,Arthropoda,,54
Automeris,"Automeris Hübner, 1819",1865957,HIGHERRANK,94,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Automeris,,Automeris,"Hübner, 1819",1865957
Azemca wolaica,,,NONE,100,,,,,,,,,,,,
Baccharis dracunculifolia,Baccharis dracunculifolia DC.,3129176,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis dracunculifolia,Baccharis dracunculifolia,DC.,3129176
