DATA,horario,local,coletor,taxon,nome_comum,abundancia
05/09/2024,06:11,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Guira guira,anú-branco,
05/09/2024,06:12,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Eulaema nigrita,abelha-de-orquídea,
05/09/2024,06:13,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Spermacoce verticillata,Vassourinha-de-botão,
05/09/2024,06:13,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Trochilidae,beija-flor,
05/09/2024,06:13,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Xylocopa frontalis,mamangava,
05/09/2024,06:15,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Sicalis flaveola,canário-da-terra,
05/09/2024,06:24,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando,
05/09/2024,06:26,Ponto 1,Gabriel/Clarisse/Lorena/Thallita/César,Lepidoptera,mariposa,
05/09/2024,06:33,Ponto 2,Gabriel/Clarisse/Lorena/Thallita/César,Termitoidae,cupim,
05/09/2024,06:33,Ponto 2,Gabriel/Clarisse/Lorena/Thallita/César,Pycnoscelus surinamensis,barata-de-jardim,
05/09/2024,06:39,Ponto 2,Gabriel/Clarisse/Lorena/Thallita/César,Furnarius rufus,joão-de-barro,
05/09/2024,06:52,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Formicidae,formiga,
05/09/2024,06:55,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Lucilia sp.,mosca-verde,
05/09/2024,06:56,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Sicalis flaveola,canário-da-terra,
05/09/2024,06:59,Ponto 3,Gabriel/Clarisse/Lorena/Thallita/César,Troglodytes aedon,curruira,
05/09/2024,07:00,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Fluvicola nengeta,lavadeira-mascarada,
05/09/2024,07:02,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Columba livia,pombo-doméstico,
05/09/2024,07:04,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Mimosa pudica,dormideira,
05/09/2024,07:06,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Trochilidae,beija-flor,
05/09/2024,07:07,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando,
05/09/2024,07:11,Ponto 4,Gabriel/Clarisse/Lorena/Thallita/César,Commelina erecta,trapoeraba,
05/09/2024,07:20,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Solenopsis sp.,formiga-quente,
05/09/2024,07:21,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Turnera subulata,xanana,
05/09/2024,07:22,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Cubaris murina,tatuzinho-de-jardim,
05/09/2024,07:22,Ponto 5,Gabriel/Clarisse/Lorena/Thallita/César,Juliformia,maria-café (gongolo),
05/09/2024,07:29,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Zenaida auriculata,pomba-de-bando,
05/09/2024,07:30,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Furnarius rufus,joão-de-barro,
05/09/2024,07:33,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Lepidoptera,mariposa,
05/09/2024,07:36,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Vanellus chilensis,quero-quero,
05/09/2024,07:37,Ponto 6,Gabriel/Clarisse/Lorena/Thallita/César,Hymenoptera,vespa,
05/09/2024,07:41,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Pitangus sulphuratus,bem-te-vi,
05/09/2024,07:42,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Siproeta stelenes,borboleta-malaquita,
05/09/2024,07:43,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Stilpnia cayana,saíra-amarela ,
05/09/2024,07:45,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Formicidae,formiga ,
05/09/2024,07:47,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Talinum fruticosum,beldroega-grande,
05/09/2024,07:49,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Thraupis palmarum,sanhaço-do-coqueiro,
05/09/2024,07:49,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Columba livia,pombo-doméstico,
05/09/2024,07:49,Ponto 7,Gabriel/Clarisse/Lorena/Thallita/César,Crotophaga ani,anú-preto,
05/09/2024,07:55,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Crotophaga ani,anú-preto,
05/09/2024,07:56,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Solenopsis sp.,formiga-quente,
05/09/2024,07:57,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Xylocopa frontalis,mamangava,
05/09/2024,08:00,Ponto 8,Gabriel/Clarisse/Lorena/Thallita/César,Hamadryas sp.,boboleta-estala-pau,
