"NM_MUNICIP","kingdom","phylum","especies","ocorrencias"
"BOM JESUS DO ITABAPOANA","Animalia","Annelida",2,2
"BOM JESUS DO ITABAPOANA","Animalia","Arthropoda",2,2
"BOM JESUS DO ITABAPOANA","Animalia","Chordata",116,216
"BOM JESUS DO ITABAPOANA","Animalia","Mollusca",6,7
"BOM JESUS DO ITABAPOANA","Plantae","Tracheophyta",88,191
"CAMPOS DOS GOYTACAZES","Animalia","Arthropoda",57,103
"CAMPOS DOS GOYTACAZES","Animalia","Chordata",484,3440
"CAMPOS DOS GOYTACAZES","Animalia","Mollusca",21,44
"CAMPOS DOS GOYTACAZES","Chromista","Ochrophyta",1,1
"CAMPOS DOS GOYTACAZES","Fungi","Ascomycota",1,2
"CAMPOS DOS GOYTACAZES","Plantae","Bryophyta",3,4
"CAMPOS DOS GOYTACAZES","Plantae","Chlorophyta",3,3
"CAMPOS DOS GOYTACAZES","Plantae","Marchantiophyta",40,60
"CAMPOS DOS GOYTACAZES","Plantae","Tracheophyta",1020,3648
"CARAPEBUS","Animalia","Annelida",1,2
"CARAPEBUS","Animalia","Arthropoda",17,84
"CARAPEBUS","Animalia","Chordata",242,2324
"CARAPEBUS","Animalia","Mollusca",2,5
"CARAPEBUS","Animalia","Rotifera",1,7
"CARAPEBUS","Chromista","Ochrophyta",8,13
"CARAPEBUS","Fungi","Ascomycota",1,1
"CARAPEBUS","Plantae","Bryophyta",16,92
"CARAPEBUS","Plantae","Chlorophyta",8,16
"CARAPEBUS","Plantae","Marchantiophyta",27,163
"CARAPEBUS","Plantae","Rhodophyta",9,14
"CARAPEBUS","Plantae","Tracheophyta",231,685
"CARDOSO MOREIRA","Animalia","Arthropoda",1,2
"CARDOSO MOREIRA","Animalia","Chordata",19,30
"CARDOSO MOREIRA","Animalia","Mollusca",1,1
"CARDOSO MOREIRA","Plantae","Bryophyta",1,1
"CARDOSO MOREIRA","Plantae","Tracheophyta",152,262
"CONCEIÇÃO DE MACABU","Animalia","Arthropoda",5,9
"CONCEIÇÃO DE MACABU","Animalia","Chordata",46,65
"CONCEIÇÃO DE MACABU","Animalia","Mollusca",1,1
"CONCEIÇÃO DE MACABU","Plantae","Tracheophyta",5,6
"MACAÉ","Animalia","Arthropoda",75,176
"MACAÉ","Animalia","Chaetognatha",1,1
"MACAÉ","Animalia","Chordata",618,2746
"MACAÉ","Animalia","Cnidaria",1,1
"MACAÉ","Animalia","Echinodermata",6,6
"MACAÉ","Animalia","Mollusca",19,31
"MACAÉ","Chromista","Ochrophyta",8,14
"MACAÉ","Fungi","Ascomycota",1,1
"MACAÉ","Plantae","Bryophyta",1,2
"MACAÉ","Plantae","Chlorophyta",15,24
"MACAÉ","Plantae","Marchantiophyta",1,1
"MACAÉ","Plantae","Rhodophyta",15,16
"MACAÉ","Plantae","Tracheophyta",697,1582
"QUISSAMÃ","Animalia","Annelida",1,2
"QUISSAMÃ","Animalia","Arthropoda",17,46
"QUISSAMÃ","Animalia","Chordata",234,1624
"QUISSAMÃ","Animalia","Mollusca",6,6
"QUISSAMÃ","Animalia","Nematoda",1,1
"QUISSAMÃ","Animalia","Rotifera",27,35
"QUISSAMÃ","Fungi","Ascomycota",2,4
"QUISSAMÃ","Fungi","Basidiomycota",1,2
"QUISSAMÃ","Plantae","Charophyta",1,1
"QUISSAMÃ","Plantae","Chlorophyta",4,4
"QUISSAMÃ","Plantae","Tracheophyta",256,569
"SÃO FIDÉLIS","Animalia","Arthropoda",10,14
"SÃO FIDÉLIS","Animalia","Chordata",52,398
"SÃO FIDÉLIS","Animalia","Mollusca",3,4
"SÃO FIDÉLIS","Animalia","Platyhelminthes",1,1
"SÃO FIDÉLIS","Plantae","Bryophyta",3,5
"SÃO FIDÉLIS","Plantae","Marchantiophyta",15,23
"SÃO FIDÉLIS","Plantae","Tracheophyta",318,589
"SÃO FRANCISCO DE ITABAPOANA","Animalia","Arthropoda",64,157
"SÃO FRANCISCO DE ITABAPOANA","Animalia","Chordata",293,1983
"SÃO FRANCISCO DE ITABAPOANA","Animalia","Mollusca",5,6
"SÃO FRANCISCO DE ITABAPOANA","Chromista","Ochrophyta",1,1
"SÃO FRANCISCO DE ITABAPOANA","Fungi","Ascomycota",2,13
"SÃO FRANCISCO DE ITABAPOANA","Fungi","Incertae sedis",1,1
"SÃO FRANCISCO DE ITABAPOANA","Plantae","Rhodophyta",1,1
"SÃO FRANCISCO DE ITABAPOANA","Plantae","Tracheophyta",617,3008
"SÃO JOÃO DA BARRA","Animalia","Annelida",1,2
"SÃO JOÃO DA BARRA","Animalia","Arthropoda",22,42
"SÃO JOÃO DA BARRA","Animalia","Chordata",253,654
"SÃO JOÃO DA BARRA","Animalia","Mollusca",4,10
"SÃO JOÃO DA BARRA","Fungi","Ascomycota",3,10
"SÃO JOÃO DA BARRA","Fungi","Basidiomycota",2,2
"SÃO JOÃO DA BARRA","Plantae","Tracheophyta",236,914
